label,timestamp,duration,pkg,dram,socket
measure_planner,1755586030.8205886,12183670.830733333,172766810.33333334,0.0,0
measure_planner,1755586406.3664165,134109383.58396667,1821643234.9333334,0.0,0
measure_planner,1755590439.6850543,36384984.1603,502616885.5,0.0,0
measure_planner,1755591541.2717595,34835802.0415,478270447.1666667,0.0,0
measure_planner,1755592596.384092,264725273.88603336,3605647692.9333334,0.0,0
measure_planner,1755592662.2105386,13186640.3333333,173643651.633333334,0.0,0
measure_planner,1755600950.4178593,119642968.81933333,1632006983.3333333,0.0,0
measure_planner,1755604549.7491965,103158868.65650001,1406656882.7333333,0.0,0
measure_planner,1755607654.552833,34490424.68503334,476145529.93333334,0.0,0
measure_planner,1755608699.303058,80902357.83123332,1103226179.6333334,0.0,0
