label,timestamp,duration,pkg,dram,socket
measure_planner,1755538800.9681313,697657.5189,9798516.2,0.0,0
measure_planner,1755538831.9264705,670779.0706,9478534.1,0.0,0
measure_planner,1755538862.0700607,766048.2077666667,10607156.666666666,0.0,0
measure_planner,1755538895.0724602,715956.4767666666,9987150.933333334,0.0,0
measure_planner,1755538926.5783658,1487707.6441,20431954.533333335,0.0,0
measure_planner,1755538981.23844,868019.0046333333,12091839.133333333,0.0,0
measure_planner,1755539017.3071032,929560.4712333332,12918769.833333334,0.0,0
measure_planner,1755539055.2216692,1068327.1157666666,15117405.133333333,0.0,0
measure_planner,1755539097.3007512,1240496.5097333335,16948611.8,0.0,0
measure_planner,1755539144.5515127,1708063.0954333332,22898134.733333334,0.0,0
