label,timestamp,duration,pkg,dram,socket
measure_planner,1755813852.2502847,315236.3651666667,4330233.866666666,0.0,0
measure_planner,1755813871.7292843,316859.76300000004,4373395.8,0.0,0
measure_planner,1755813891.2544594,315417.91983333335,4405536.833333333,0.0,0
measure_planner,1755813910.7386045,316949.03486666665,4480296.533333333,0.0,0
measure_planner,1755813930.2758036,331834.6178,4654903.433333334,0.0,0
measure_planner,1755813950.2511587,336822.3774,4725858.666666667,0.0,0
measure_planner,1755813970.3839653,365351.03763333336,5068891.633333334,0.0,0
measure_planner,1755813991.3734086,365255.01893333334,5217937.066666666,0.0,0
measure_planner,1755814012.3664238,368524.5855,5447455.133333334,0.0,0
measure_planner,1755814033.4505227,391843.12793333334,5644042.733333333,0.0,0
