label,timestamp,duration,pkg,dram,socket
measure_planner,1755792001.2424817,367169.4539666667,5330510.033333333,0.0,0
measure_planner,1755792022.2919517,366839.2570333333,5367930.566666666,0.0,0
measure_planner,1755792043.3342795,373668.4867,5480875.833333333,0.0,0
measure_planner,1755792064.5648897,371945.2216,5544100.0,0.0,0
measure_planner,1755792085.7519855,385172.1824,5662430.566666666,0.0,0
measure_planner,1755792107.3286414,396876.3919,5832813.833333333,0.0,0
measure_planner,1755792129.2553551,407028.453,5992318.666666667,0.0,0
measure_planner,1755792151.4868877,413570.76183333335,6112282.933333334,0.0,0
measure_planner,1755792173.9226606,415368.6764,6225254.666666667,0.0,0
measure_planner,1755792196.4043658,415523.76950000005,6357253.033333333,0.0,0
