label,timestamp,duration,pkg,dram,socket
measure_planner,1755799543.4086428,729429.6163333333,10016077.466666667,0.0,0
measure_planner,1755799575.31984,764453.3951333333,10611565.433333334,0.0,0
measure_planner,1755799608.2810674,773042.7787666668,10925555.933333334,0.0,0
measure_planner,1755799641.499797,808078.2183666666,11416741.2,0.0,0
measure_planner,1755799675.7700467,819670.5617,11895137.6,0.0,0
measure_planner,1755799710.3885274,844594.0164333334,12327377.3,0.0,0
measure_planner,1755799745.7545526,866455.9306666667,12893928.6,0.0,0
measure_planner,1755799781.7681677,883098.3066666666,13199366.033333333,0.0,0
measure_planner,1755799818.2812777,906431.8175333333,13536000.533333333,0.0,0
measure_planner,1755799855.503388,928353.2535,14031494.833333334,0.0,0
