label,timestamp,duration,pkg,dram,socket
measure_planner,1755800601.8167887,736074.1010333333,10148059.566666666,0.0,0
measure_planner,1755800633.928033,766332.3016333333,10714252.766666668,0.0,0
measure_planner,1755800666.9465506,787819.4285333332,11258158.033333333,0.0,0
measure_planner,1755800700.6019802,814794.4129333333,11724443.033333333,0.0,0
measure_planner,1755800735.0831912,839810.8205333333,12200676.766666668,0.0,0
measure_planner,1755800770.2984064,866732.1255666667,12767122.266666668,0.0,0
measure_planner,1755800806.3277888,906775.1771000001,13395223.3,0.0,0
measure_planner,1755800843.5665345,916813.7508333332,13665691.733333332,0.0,0
measure_planner,1755800881.0996308,953245.9037666668,14302417.0,0.0,0
measure_planner,1755800919.7310379,969983.1723,14695936.1,0.0,0
