label,timestamp,duration,pkg,dram,socket
measure_planner,1755966409.5491152,595693.2081666667,8989786.166666666,0.0,0
measure_planner,1755966437.441398,771187.6402333333,12154137.566666666,0.0,0
measure_planner,1755966470.5975869,1229025.9923666667,18401444.166666668,0.0,0
measure_planner,1755966517.490268,1714812.4244666665,25120549.3,0.0,0
measure_planner,1755966578.9638333,2134027.4611,30939805.233333334,0.0,0
measure_planner,1755966653.013777,3256886.5701,45989601.9,0.0,0
measure_planner,1755966760.741472,2966255.1119,42590491.56666667,0.0,0
measure_planner,1755966859.7650712,3194866.0916,45436415.266666666,0.0,0
measure_planner,1755966965.6404052,4753625.143466666,66589223.666666664,0.0,0
measure_planner,1755967118.2766109,9736962.065299999,130105257.73333333,0.0,0
