label,timestamp,duration,pkg,dram,socket
measure_planner,1755478128.6879642,2180870.3947,28158684.433333334,0.0,0
measure_planner,1755478204.1433232,5544816.948866666,65955070.03333333,0.0,0
measure_planner,1755478380.5191872,2299451.6520999996,29377160.7,0.0,0
measure_planner,1755478459.5394337,2566725.9267,32298609.133333333,0.0,0
measure_planner,1755478546.5854375,1850091.6742,24296114.966666665,0.0,0
measure_planner,1755478612.1251795,2267857.9458666667,29183557.666666668,0.0,0
measure_planner,1755478690.1978133,2339529.6682333336,30179836.066666666,0.0,0
measure_planner,1755478770.4205034,7913517.790566667,94982103.43333334,0.0,0
measure_planner,1755479017.8629172,1290562.4651000001,17593643.9,0.0,0
measure_planner,1755479066.607878,2192484.7235,28357294.366666667,0.0,0
