label,timestamp,duration,pkg,dram,socket
measure_planner,1755469678.5613418,2174214.2993666665,27767842.7,0.0,0
measure_planner,1755469753.8167083,2072272.1259,27749965.6,0.0,0
measure_planner,1755469826.005094,2120641.5327999997,27587195.4,0.0,0
measure_planner,1755469899.6556907,3503712.4932333333,43409817.233333334,0.0,0
measure_planner,1755470014.7963068,1631132.7248333332,21717241.766666666,0.0,0
measure_planner,1755470073.7664545,3173136.9087,39638466.666666664,0.0,0
measure_planner,1755470178.9822414,2408142.594966667,30803245.533333335,0.0,0
measure_planner,1755470261.2540646,2112414.4237666666,27242742.333333332,0.0,0
measure_planner,1755470334.6477761,1724716.0171666667,22725100.5,0.0,0
measure_planner,1755470396.4175248,2418008.2732666666,30912233.7,0.0,0
