label,timestamp,duration,pkg,dram,socket
measure_planner,1755419615.8176088,554019.4900666666,7538351.466666667,0.0,0
measure_planner,1755419642.4662333,557212.4926666666,7682308.6,0.0,0
measure_planner,1755419669.2114835,565614.7553000001,7791339.5,0.0,0
measure_planner,1755419696.2005146,565589.8626666666,7847337.066666666,0.0,0
measure_planner,1755419723.1892183,565579.1397999999,7970768.166666667,0.0,0
measure_planner,1755419750.1782773,568870.3621333333,8135389.733333333,0.0,0
measure_planner,1755419777.2644548,580701.5516,8263272.3,0.0,0
measure_planner,1755419804.7065854,600637.8371333333,8519627.433333334,0.0,0
measure_planner,1755419832.7532394,617448.4527,8774751.7,0.0,0
measure_planner,1755419861.3059955,617159.6691666667,8913933.9,0.0,0
