label,timestamp,duration,pkg,dram,socket
measure_planner,1755523617.259345,528851.4569666667,7235908.833333333,0.0,0
measure_planner,1755523643.160571,537147.4541333333,7220389.666666667,0.0,0
measure_planner,1755523669.3103805,533874.2535666667,7230344.466666667,0.0,0
measure_planner,1755523695.3632739,538934.9923333334,7233386.033333333,0.0,0
measure_planner,1755523721.5676973,530353.0955333334,7198864.633333334,0.0,0
measure_planner,1755523747.515314,527067.7157666667,7176261.333333333,0.0,0
measure_planner,1755523773.3633668,528896.9879333334,7169134.466666667,0.0,0
measure_planner,1755523799.2527623,540600.2589333333,7258803.033333333,0.0,0
measure_planner,1755523825.5063055,533959.9658333333,7212221.133333334,0.0,0
measure_planner,1755523851.5533793,535380.7792,7235438.833333333,0.0,0
