label,timestamp,duration,pkg,dram,socket
measure_planner,1755815073.4323645,316855.04250000004,4347702.066666666,0.0,0
measure_planner,1755815092.9565127,315158.48066666664,4382705.666666667,0.0,0
measure_planner,1755815112.4330966,320377.7047333334,4471702.833333333,0.0,0
measure_planner,1755815132.0736809,321849.6683666667,4488640.033333333,0.0,0
measure_planner,1755815151.7496939,328587.8981,4643062.666666667,0.0,0
measure_planner,1755815171.629571,343628.6266,4780487.033333333,0.0,0
measure_planner,1755815191.9738574,365251.2631,5073908.7,0.0,0
measure_planner,1755815212.9690437,366838.70646666666,5251129.933333334,0.0,0
measure_planner,1755815233.9962006,365220.0519,5431492.466666667,0.0,0
measure_planner,1755815254.991499,400203.16983333335,5698837.933333334,0.0,0
