label,timestamp,duration,pkg,dram,socket
measure_planner,1754748974.5982819,2662715.7257333333,40241453.766666666,0.0,0
measure_planner,1754749064.509364,2246826.8457000004,33715211.13333333,0.0,0
measure_planner,1754749141.9430263,2681017.4268333334,40269157.6,0.0,0
measure_planner,1754749232.393873,2465758.8773666667,36976101.63333333,0.0,0
measure_planner,1754749316.3949394,2557476.0102333333,38383859.666666664,0.0,0
measure_planner,1754749403.1483285,2774527.5664,41619003.56666667,0.0,0
measure_planner,1754749496.4197457,4535990.6504999995,67132343.6,0.0,0
measure_planner,1754749642.527689,4497172.3328,65854466.0,0.0,0
measure_planner,1754749787.462449,2857713.6650333335,43113134.266666666,0.0,0
measure_planner,1754749883.2227964,3538821.8360666665,52806877.766666666,0.0,0
