label,timestamp,duration,pkg,dram,socket
measure_planner,1755070444.3622818,764434.8040333333,10579308.466666667,0.0,0
measure_planner,1755070477.317254,778017.7347666667,11184755.3,0.0,0
measure_planner,1755070510.678329,816431.8376333334,11790967.133333333,0.0,0
measure_planner,1755070545.1986248,829817.2803000001,12169021.966666667,0.0,0
measure_planner,1755070580.1146946,866696.1738666666,12781325.1,0.0,0
measure_planner,1755070616.1342394,904849.6282333334,13505269.366666667,0.0,0
measure_planner,1755070653.2997923,939877.7944333333,14253493.366666667,0.0,0
measure_planner,1755070691.5165489,956821.1766666666,14374818.766666668,0.0,0
measure_planner,1755070730.2412214,981838.8945333333,14773291.833333334,0.0,0
measure_planner,1755070769.731822,1011989.8752333333,15191735.6,0.0,0
