label,timestamp,duration,pkg,dram,socket
measure_planner,1755074636.3247745,754558.3919333334,10484020.6,0.0,0
measure_planner,1755074668.9894433,774518.8581000001,11004002.166666666,0.0,0
measure_planner,1755074702.24446,813110.5383333333,11644051.833333334,0.0,0
measure_planner,1755074736.6580844,818190.0320333333,11935589.533333333,0.0,0
measure_planner,1755074771.2237163,859914.1024999999,12596269.033333333,0.0,0
measure_planner,1755074807.0426698,869751.2440333333,12901999.466666667,0.0,0
measure_planner,1755074843.1717372,918605.3005333333,13868130.6,0.0,0
measure_planner,1755074880.7640724,930236.9879,13854912.433333334,0.0,0
measure_planner,1755074918.6986341,956829.7491666668,14339904.7,0.0,0
measure_planner,1755074957.423923,975164.6978333333,14672905.533333333,0.0,0
