label,timestamp,duration,pkg,dram,socket
measure_planner,1755074275.4577277,756474.5164666666,10500681.133333333,0.0,0
measure_planner,1755074308.1725469,773096.3816333334,11034715.0,0.0,0
measure_planner,1755074341.3868606,814817.3739333333,11609278.133333333,0.0,0
measure_planner,1755074375.8582556,824589.4271000001,11964554.766666668,0.0,0
measure_planner,1755074410.6229098,856383.2442333333,12500218.233333332,0.0,0
measure_planner,1755074446.3433547,871657.0538333333,12937300.066666666,0.0,0
measure_planner,1755074482.5204315,918237.4469000001,13881985.566666666,0.0,0
measure_planner,1755074520.096091,928330.5587666667,14003732.033333333,0.0,0
measure_planner,1755074557.9816968,956681.9462,14329451.433333334,0.0,0
measure_planner,1755074596.7095578,971754.8278,14601358.266666668,0.0,0
