label,timestamp,duration,pkg,dram,socket
measure_planner,1755071177.7260935,812895.8488,11659650.333333334,0.0,0
measure_planner,1755071212.1334352,1030149.4041,15426431.466666667,0.0,0
measure_planner,1755071253.0646813,1290823.3632666667,19352623.8,0.0,0
measure_planner,1755071301.8097138,1376223.2256333334,20678684.466666665,0.0,0
measure_planner,1755071353.1164668,1516635.8398666668,22694186.266666666,0.0,0
measure_planner,1755071408.635973,1581609.3246,23704761.066666666,0.0,0
measure_planner,1755071466.1127539,1690335.9754666665,25329732.533333335,0.0,0
measure_planner,1755071526.8494484,1787051.7623666667,26769751.633333333,0.0,0
measure_planner,1755071590.4808533,1902406.1111333333,28550476.233333334,0.0,0
measure_planner,1755071657.5900106,2064301.1763,30945499.8,0.0,0
