label,timestamp,duration,pkg,dram,socket
measure_planner,1756536016.5785487,707879.144,10765575.066666666,0.0,0
measure_planner,1756536047.8379238,848259.8849666666,12865000.0,0.0,0
measure_planner,1756536083.315102,2362621.9195,33931922.0,0.0,0
measure_planner,1756536164.221897,1212445.6243,18293159.966666665,0.0,0
measure_planner,1756536210.6228728,6916817.1518,91915442.6,0.0,0
measure_planner,1756536428.1555462,1488046.4148666668,22386746.9,0.0,0
measure_planner,1756536482.8248847,1624910.9732000001,24442279.533333335,0.0,0
measure_planner,1756536541.6003485,220392943.39086667,2841602159.4666667,0.0,0
measure_planner,1756542882.2974397,120997441.65666667,1595967812.4333333,0.0,0
measure_planner,1756546793.6907907,7454704.786133333,104522561.6,0.0,0
