label,timestamp,duration,pkg,dram,socket
measure_planner,1755357566.1599119,1257430.6824333332,18873814.4,0.0,0
measure_planner,1755357613.913006,1417744.9373333333,21275087.966666665,0.0,0
measure_planner,1755357666.473791,1630252.5103,24485956.2,0.0,0
measure_planner,1755357725.4089,1625072.2894333333,24368388.566666666,0.0,0
measure_planner,1755357784.1899495,16945608.046833333,225801006.8,0.0,0
measure_planner,1755358302.5951655,1698562.0073666668,25445259.566666666,0.0,0
measure_planner,1755358363.5785596,1678337.8869999999,25166699.9,0.0,0
measure_planner,1755358423.9571679,8100543.216066667,110574041.46666667,0.0,0
measure_planner,1755358676.9945724,298878100.26926666,3999911315.8,0.0,0
measure_planner,1755367653.3578644,12164763.421799999,165175460.13333333,0.0,0
