label,timestamp,duration,pkg,dram,socket
measure_planner,1756229015.6720872,1240791.5013333333,18633698.633333333,0.0,0
measure_planner,1756229062.9306104,1402703.9568,20909065.1,0.0,0
measure_planner,1756229115.0327322,3211183.6247,44568705.06666667,0.0,0
measure_planner,1756229221.3893185,1584896.9716666667,23798773.3,0.0,0
measure_planner,1756229278.9728537,2042421.2078666666,29995632.433333334,0.0,0
measure_planner,1756229350.2736695,1818683.5172666667,27206747.966666665,0.0,0
measure_planner,1756229414.8556342,1820528.8081333335,27254056.2,0.0,0
measure_planner,1756229479.4921706,2768841.4962999998,39825247.96666667,0.0,0
measure_planner,1756229572.5923617,84861057.07623334,1048558719.0666667,0.0,0
measure_planner,1756232128.4597554,2272874.546166667,33564796.5,0.0,0
