label,timestamp,duration,pkg,dram,socket
measure_planner,1755798079.1527658,743296.4745,9945972.666666666,0.0,0
measure_planner,1755798111.479389,769681.208,10863926.866666667,0.0,0
measure_planner,1755798144.589828,811312.5750333333,11435672.233333332,0.0,0
measure_planner,1755798178.949691,833053.5618333333,12012910.733333332,0.0,0
measure_planner,1755798213.9614818,868245.5048333333,12704286.733333332,0.0,0
measure_planner,1755798250.0451698,908196.6684333333,13224724.033333333,0.0,0
measure_planner,1755798287.3101745,915016.4056,13553346.633333333,0.0,0
measure_planner,1755798324.7956557,924991.9422666667,13682240.366666667,0.0,0
measure_planner,1755798362.572955,981969.314,14840877.933333334,0.0,0
measure_planner,1755798402.0595326,1000373.4488666666,15083392.4,0.0,0
