label,timestamp,duration,pkg,dram,socket
measure_planner,1755806754.5169888,727634.3866333333,10035488.633333333,0.0,0
measure_planner,1755806786.366311,761108.6761333334,10520098.366666667,0.0,0
measure_planner,1755806819.2194755,772924.1390666666,10972982.166666666,0.0,0
measure_planner,1755806852.4330707,807920.4780666666,11454554.433333334,0.0,0
measure_planner,1755806886.6912608,821395.3789666666,11933565.233333332,0.0,0
measure_planner,1755806921.3544397,844706.1426333333,12285291.633333333,0.0,0
measure_planner,1755806956.7324288,869976.1709666667,12899470.566666666,0.0,0
measure_planner,1755806992.8593838,883316.4206000001,13167627.8,0.0,0
measure_planner,1755807029.3946197,916611.1249666667,13702711.533333333,0.0,0
measure_planner,1755807066.9214172,926952.9808333333,13995179.0,0.0,0
