label,timestamp,duration,pkg,dram,socket
measure_planner,1755803247.1281123,724558.6428,10027901.966666667,0.0,0
measure_planner,1755803278.8921359,762894.8765666666,10523060.633333333,0.0,0
measure_planner,1755803311.8060489,771488.6616999999,10997375.833333334,0.0,0
measure_planner,1755803344.9779704,804639.9524333333,11406226.9,0.0,0
measure_planner,1755803379.1590402,823036.8204,11907869.5,0.0,0
measure_planner,1755803413.8778698,849726.459,12303933.766666668,0.0,0
measure_planner,1755803449.3897572,871529.8938,12842079.333333334,0.0,0
measure_planner,1755803485.571081,881685.0149333333,13076769.1,0.0,0
measure_planner,1755803522.0572436,905221.7851,13410720.033333333,0.0,0
measure_planner,1755803559.2492442,923119.9142333333,13940591.366666667,0.0,0
