label,timestamp,duration,pkg,dram,socket
measure_planner,1755806053.7420342,727743.8770333334,10053752.333333334,0.0,0
measure_planner,1755806085.602262,764560.0552,10560959.266666668,0.0,0
measure_planner,1755806118.566802,777938.1459,11045699.233333332,0.0,0
measure_planner,1755806151.9399755,811334.9415666667,11451710.166666666,0.0,0
measure_planner,1755806186.3013182,821302.4701666667,11867574.2,0.0,0
measure_planner,1755806220.9595819,846538.0414,12286555.066666666,0.0,0
measure_planner,1755806256.3910797,866494.6654,12855661.666666666,0.0,0
measure_planner,1755806292.4219332,878267.9709666667,13143315.533333333,0.0,0
measure_planner,1755806328.8063679,909962.2151333333,13498488.4,0.0,0
measure_planner,1755806366.1326954,920310.5400666667,13915906.766666668,0.0,0
