label,timestamp,duration,pkg,dram,socket
measure_planner,1755804297.5033438,721233.8774333333,10009833.6,0.0,0
measure_planner,1755804329.1681826,764476.8166333333,10521410.666666666,0.0,0
measure_planner,1755804362.1288047,772841.2943333333,11000443.833333334,0.0,0
measure_planner,1755804395.3338566,803196.4657666667,11491287.333333334,0.0,0
measure_planner,1755804429.449912,819690.1419666667,11896730.633333333,0.0,0
measure_planner,1755804464.0606856,851367.4026333333,12369029.633333333,0.0,0
measure_planner,1755804499.6377487,868257.7111333333,12833005.466666667,0.0,0
measure_planner,1755804535.7127573,881485.2527666667,13103722.166666666,0.0,0
measure_planner,1755804572.1938078,915061.6415,13600850.2,0.0,0
measure_planner,1755804609.6803093,925028.4021000001,14024199.1,0.0,0
