label,timestamp,duration,pkg,dram,socket
measure_planner,1755076079.3846493,759574.2634333334,10549625.1,0.0,0
measure_planner,1755076112.1992362,772817.8645666667,11028711.2,0.0,0
measure_planner,1755076145.4044409,816266.8944333333,11652718.766666668,0.0,0
measure_planner,1755076179.9211314,819598.7313333334,11961269.033333333,0.0,0
measure_planner,1755076214.5355957,856405.0597666667,12523199.933333334,0.0,0
measure_planner,1755076250.2488828,869991.1286333334,12948923.133333333,0.0,0
measure_planner,1755076286.3840654,918319.5507333333,13870940.233333332,0.0,0
measure_planner,1755076323.9627934,921529.2086333333,13861957.933333334,0.0,0
measure_planner,1755076361.6372845,960064.2375333332,14438820.066666666,0.0,0
measure_planner,1755076400.4674282,975377.8531333334,14680585.8,0.0,0
