label,timestamp,duration,pkg,dram,socket
measure_planner,1755077523.237943,758030.0213333333,10529249.566666666,0.0,0
measure_planner,1755077555.9975057,774987.0328666667,11043727.833333334,0.0,0
measure_planner,1755077589.2751987,814598.4555333334,11577480.966666667,0.0,0
measure_planner,1755077623.73384,823137.2095666666,12028822.566666666,0.0,0
measure_planner,1755077658.4482677,858000.0660999999,12598134.666666666,0.0,0
measure_planner,1755077694.2258832,870029.4177666666,12901061.533333333,0.0,0
measure_planner,1755077730.3627765,916726.2247666667,13819774.6,0.0,0
measure_planner,1755077767.8994026,920489.7065,13924445.566666666,0.0,0
measure_planner,1755077805.5343878,960033.0527333333,14455669.8,0.0,0
measure_planner,1755077844.3643022,980445.9081666667,14712557.966666667,0.0,0
