label,timestamp,duration,pkg,dram,socket
measure_planner,1755828185.7585669,4107284.208666667,55992969.86666667,0.0,0
measure_planner,1755828318.9962866,5607290.575166667,76823920.33333333,0.0,0
measure_planner,1755828497.2499285,3013014.864,42712461.86666667,0.0,0
measure_planner,1755828597.6777225,4128906.9869333333,56890778.43333333,0.0,0
measure_planner,1755828731.572515,2057509.9272,29871204.433333334,0.0,0
measure_planner,1755828803.3279524,53083918.36766667,653358487.7333333,0.0,0
measure_planner,1755830405.865513,7142153.945133333,94196391.73333333,0.0,0
measure_planner,1755830630.1592445,3231773.0206333334,45970542.733333334,0.0,0
measure_planner,1755830737.1422791,2697397.4595333333,38046799.96666667,0.0,0
measure_planner,1755830828.11931,4334070.7649,59562616.06666667,0.0,0
