label,timestamp,duration,pkg,dram,socket
measure_planner,1755506417.7756646,715874.6190333333,10036418.4,0.0,0
measure_planner,1755506449.2802622,717489.4198333333,10141597.966666667,0.0,0
measure_planner,1755506480.8246226,717483.3876666666,10114207.5,0.0,0
measure_planner,1755506512.3766563,993421.7189333333,14128326.866666667,0.0,0
measure_planner,1755506552.2080793,24716121.497233335,273224390.06666666,0.0,0
measure_planner,1755507303.711023,1145421.0349666667,16128775.433333334,0.0,0
measure_planner,1755507348.0942452,4706538.779233334,56310060.93333333,0.0,0
measure_planner,1755507499.3182883,1116821.4333666665,15905010.966666667,0.0,0
measure_planner,1755507542.8437083,1218735.2102666667,17117920.866666667,0.0,0
measure_planner,1755507589.4412134,1128458.2989999999,15963681.866666667,0.0,0
